slug,repo_dir,title,repo_title,match_type,content_type,url
build-a-bioinformatics-solubility-dashboard,bioinformatics-dashboard,Build a Bioinformatics Solubility Dashboard,Build a Bioinformatics Solubility Dashboard in Snowflake,title similarity (87%),Certified Solution,https://www.snowflake.com/en/developers/guides/build-a-bioinformatics-solubility-dashboard/
credit-card-fraud-detection-with-snowflake-ml-functions,credit-card-fraud-detection-using-snowflake-ml,Credit card fraud detection with Snowflake ML Functions,Credit Card Fraud Detection using Snowflake ML Functions,title similarity (94%),Community Solution,https://www.snowflake.com/en/developers/guides/credit-card-fraud-detection-with-snowflake-ml-functions/
data-analysis-with-r-using-posit-workbench-and-snowflake,analyze-data-with-r-using-posit-workbench-and-snowflake,Data Analysis with R using Posit Workbench and Snowflake,Analyze Data with R using Posit Workbench and Snowflake,title similarity (86%),Community Solution,https://www.snowflake.com/en/developers/guides/data-analysis-with-r-using-posit-workbench-and-snowflake/
declarative-pipelines-using-dynamic-iceberg-tablesmd,declarative-pipelines-using-dynamic-iceberg-tables,Build Declarative Pipelines using Snowflake Dynamic Iceberg Tables,Build Declarative Pipelines using Snowflake Dynamic Iceberg Tables,slug variant,,https://www.snowflake.com/en/developers/guides/declarative-pipelines-using-dynamic-iceberg-tablesmd/
finding-fraudulent-communities-with-neo4j,neo4j-fraud,Discover Fraudulent Communities in Financial Services Data with Neo4j Graph Analytics,Discover Fraudulent Communities in Financial Services Data with Neo4j Graph Analytics,exact title,Quickstart,https://www.snowflake.com/en/developers/guides/finding-fraudulent-communities-with-neo4j/
get-started-with-snowpark-in-snowflake-python-worksheets-and-notebooks,getting-started-with-snowpark-in-snowflake-python-worksheets,Get Started with Snowpark in Snowflake Python Worksheets and Notebooks,Getting Started with Snowpark in Snowflake Python Worksheets and Notebooks,title similarity (97%),Certified Solution,https://www.snowflake.com/en/developers/guides/get-started-with-snowpark-in-snowflake-python-worksheets-and-notebooks/
getting-started-with-dbt-projects-on-snowflake,getting-started-with-pandas-on-snowflake,Getting Started with dbt Projects on Snowflake,Getting Started with pandas on Snowflake,title similarity (84%),Certified Solution,https://www.snowflake.com/en/developers/guides/getting-started-with-dbt-projects-on-snowflake/
getting-started-with-the-snowflake-connector-for-google-analytics,connectors-google-analytics-raw-data,Getting Started with the Snowflake Connector for Google Analytics,Getting Started with the Snowflake Connector for Google Analytics,exact title,,https://www.snowflake.com/en/developers/guides/getting-started-with-the-snowflake-connector-for-google-analytics/
managing-risk-in-manufacturing,neo4j-manufacturing,Manage Risk with a Digital Twin in Manufacturing Data using Neo4j Graph Analytics,Manage Risk with a Digital Twin in Manufacturing Data using Neo4j Graph Analytics,exact title,Quickstart,https://www.snowflake.com/en/developers/guides/managing-risk-in-manufacturing/
modeling-subway-disruptions-with-neo4j,neo4j-subways,Identify Bottlenecks and Model Disruptions using Neo4j Graph Analytics,Identify Bottlenecks and Model Disruptions using Neo4j Graph Analytics,exact title,Quickstart,https://www.snowflake.com/en/developers/guides/modeling-subway-disruptions-with-neo4j/
python_camouflage,python-camouflage,Tokenization in Snowflake Using Python UDFs (Python Camouflage),Tokenization in Snowflake Using Python UDFs (Python Camouflage),slug variant,Quickstart,https://www.snowflake.com/en/developers/guides/python_camouflage/
real-time-financial-insights-using-cdc-with-the-snowflake-connector-for-postgresql-and-dynamic-tables,connectors-postgres-cdc,Real-Time Financial Insights Using CDC with the Snowflake Connector for PostgreSQL and Dynamic Tables,Real-Time Financial Insights Using Change Data Capture (CDC) with the Snowflake Connector for PostgreSQL and Dynamic Tables,title similarity (90%),Community Solution,https://www.snowflake.com/en/developers/guides/real-time-financial-insights-using-cdc-with-the-snowflake-connector-for-postgresql-and-dynamic-tables/
retail-snowflake-intelligence-with-cortex-agents,retail-snowflake-intelligence,Retail Snowflake Intelligence with Cortex Agents,Retail Snowflake Intelligence with Cortex Agents,exact title,Certified Solution,https://www.snowflake.com/en/developers/guides/retail-snowflake-intelligence-with-cortex-agents/
sfguide-getting-started-with-mcp-connectors,getting-started-with-snowflake-intelligence,Getting Started with MCP Connectors in Snowflake Intelligence,Getting Started with Snowflake Intelligence,title similarity (83%),Quickstart,https://www.snowflake.com/en/developers/guides/sfguide-getting-started-with-mcp-connectors/
